update,kind,reward,rate,terminal_time_min,steps,episodes,step_avg_reward,step_avg_rate,combo_id,LAMBDA,R_PICK_ALPHA,GAMMA_PACK,RIDE_TTL_MIN,MAX_VISIBLE_RIDES,SWITCH_GRACE_STEPS,RT
1,train,115.48197937011719,0.3543332686984785,313.34615384615387,626.6923076923077,13,0.18374821543693542,0.36749643087387085,1,2,0.1,0.33,5,5,6,5.5
2,train,87.98897654215494,0.32059307625672134,266.2,532.4,15,0.1640423983335495,0.328084796667099,1,2,0.1,0.33,5,5,6,5.5
3,train,98.87215,0.35810205,272.57142857142856,545.1428571428571,14,0.18465083837509155,0.3693016767501831,1,2,0.1,0.33,5,5,6,5.5
4,train,108.09168712909405,0.34696825802344233,300.8076923076923,601.6153846153846,13,0.1878211498260498,0.3756422996520996,1,2,0.1,0.33,5,5,6,5.5
5,train,109.4656248826247,0.33850549265286567,303.8076923076923,607.6153846153846,13,0.18404829502105713,0.36809659004211426,1,2,0.1,0.33,5,5,6,5.5
5,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
6,train,87.05466270446777,0.30722928895856777,278.2857142857143,556.5714285714286,14,0.15653705596923828,0.31307411193847656,1,2,0.1,0.33,5,5,6,5.5
7,train,111.65385468800862,0.33568622558899824,319.4583333333333,638.9166666666666,12,0.17806680500507355,0.3561336100101471,1,2,0.1,0.33,5,5,6,5.5
8,train,108.00879903940054,0.3485875844534068,303.2692307692308,606.5384615384615,13,0.17683498561382294,0.3536699712276459,1,2,0.1,0.33,5,5,6,5.5
9,train,125.23563678448016,0.36969132729176474,314.61538461538464,629.2307692307693,13,0.19898203015327454,0.3979640603065491,1,2,0.1,0.33,5,5,6,5.5
10,train,92.6395514351981,0.31713935354273237,281.07142857142856,562.1428571428571,14,0.16279390454292297,0.32558780908584595,1,2,0.1,0.33,5,5,6,5.5
10,eval,911.52275390625,2.673131561279297,340.9,nan,1,nan,nan,1,2,0.1,0.33,5,5,6,5.5,eval
11,train,101.73897,0.3344823,300.3076923076923,600.6153846153846,13,0.16836881637573242,0.33673763275146484,1,2,0.1,0.33,5,5,6,5.5
12,train,103.50062737098106,0.3387482016072099,291.0769230769231,582.1538461538462,13,0.18264666199684143,0.36529332399368286,1,2,0.1,0.33,5,5,6,5.5
